Jenis_Alat,MEREK,BUATAN,TAHUN_PEMBUATAN,KATEGORI_KERUSAKAN,KONDISI ,Sertifikasi ,Keterangan
101,1,1,2012,3,53,1,0
102,2,1,2018,4,93,1,2
102,2,1,2015,2,73,1,1
101,1,1,2017,4,87,1,2
101,1,1,2018,4,93,1,2
101,1,1,2017,2,87,1,2
101,1,1,2019,1,100,0,2
102,2,1,2016,2,80,1,1
102,2,1,2016,1,80,1,1
102,2,1,2011,3,47,1,0
101,1,1,2019,1,100,0,2
2,3,2,2016,2,80,1,1
3,3,3,2014,2,67,1,1
4,4,4,2015,2,73,1,1
4,4,4,2017,4,87,1,2
4,4,4,2013,1,60,1,0
4,4,4,2012,3,53,1,0
4,4,4,2016,2,80,1,1
4,4,4,2015,2,73,1,1
5,5,5,2012,3,0,1,0
5,5,5,2012,3,0,1,0
501,6,6,2012,3,0,1,0
501,6,6,2018,3,80,1,1
501,6,6,2012,3,0,1,0
501,6,6,2012,3,0,1,0
5,4,4,2016,3,40,1,0
5,4,4,2018,3,80,1,1
5,4,4,2016,3,40,1,0
5,4,4,2016,3,40,1,0
5,4,4,2016,3,40,1,0
5,4,4,2018,3,80,1,1
5,4,4,2018,3,80,1,2
5,4,4,2016,3,40,1,0
5,4,4,2018,3,80,1,1
5,4,4,2016,3,40,1,0
5,4,4,2019,2,100,1,2
5,4,4,2019,2,100,1,2
6,4,4,1999,3,0,1,0
701,7,5,2017,4,87,1,2
701,7,5,2017,4,87,1,2
702,8,7,2018,3,80,1,2
702,8,7,2019,1,100,1,2
702,8,7,2016,3,40,1,0
703,9,7,2018,3,80,1,1
703,9,7,2018,3,80,1,1
703,9,7,2019,1,100,1,2
702,8,7,2016,1,40,1,0
702,8,7,2019,1,100,1,2
703,9,7,2016,3,40,1,0
703,9,7,2016,3,40,1,0
703,9,7,2018,3,80,1,1
703,9,7,2016,3,40,1,0
702,8,7,2018,2,80,1,2
702,8,7,2016,3,40,1,0
702,8,7,2018,3,80,1,1
702,8,7,2016,3,40,1,0
702,8,7,2016,3,40,1,0
702,8,7,2019,4,100,1,2
702,8,7,2016,3,40,1,0
702,8,7,2017,2,60,1,0
702,8,7,2019,1,100,1,2
703,9,7,2016,3,40,1,0
703,9,7,2016,3,40,1,0
703,9,7,2016,1,40,1,0
801,11,5,2017,4,87,1,2
801,11,5,2017,4,87,1,2
801,11,5,2017,4,87,1,2
802,12,8,2020,4,100,1,2
9,13,9,2016,3,40,1,0
9,13,9,2016,2,40,1,0
9,13,9,2016,1,40,1,0
9,13,9,2017,3,60,1,0
9,13,9,2016,2,40,1,0
9,13,9,2019,1,100,1,2
9,13,9,2016,1,40,1,0
9,13,9,2017,2,60,1,0
9,13,9,2019,2,100,1,2
9,13,9,2019,2,100,1,2
9,13,9,2019,2,100,1,2
9,13,9,2017,3,60,1,0
9,13,9,2016,4,40,1,0
9,13,9,2019,1,100,1,2
9,13,9,2019,1,100,1,2
9,13,9,2019,1,100,1,2
9,13,9,2016,1,40,1,0
9,13,9,2018,2,80,1,1
9,13,9,2019,4,100,1,2
9,13,9,2016,2,40,1,0
9,13,9,2016,1,40,1,0
9,13,9,2016,3,40,1,0
9,13,9,2019,1,100,1,2
9,13,9,2019,1,100,1,2
9,13,9,2016,3,40,1,0
9,13,9,2016,2,40,1,0
9,13,9,2019,4,100,1,2
9,13,9,2016,3,40,1,0
9,13,9,2016,2,40,1,0
901,19,8,2017,1,60,1,0
901,19,8,2018,3,80,1,1
901,19,8,2017,2,60,1,0
902,14,8,2018,2,80,1,1
902,14,8,2018,2,80,1,1
902,14,8,2018,3,80,1,1
902,14,8,2018,2,80,1,1
902,14,8,2019,4,100,1,2
902,14,8,2019,4,100,1,2
902,14,8,2019,4,100,1,2
902,14,8,2016,1,40,1,0
902,14,8,2015,3,20,1,0
902,14,8,2018,3,80,1,1
902,14,8,2014,1,0,1,0
902,14,8,2018,2,80,1,1
902,14,8,2018,2,80,1,1
902,14,8,2018,2,80,1,1
902,14,8,2019,4,100,1,2
902,14,8,2018,3,80,1,1
902,14,8,2019,4,100,1,2
902,14,8,2019,4,100,1,2
902,14,8,2019,4,100,1,2
902,14,8,2019,4,100,1,2
902,14,8,2019,3,100,1,2
902,14,8,2019,2,100,1,2
902,14,8,2019,2,100,1,2
902,14,8,2019,1,100,1,2
902,14,8,2019,4,100,1,2
902,14,8,2019,2,100,1,2
902,14,8,2019,3,100,1,2
902,14,8,2019,3,100,1,2
902,14,8,2019,1,100,1,2
902,14,8,2019,1,100,1,2
902,14,8,2019,2,100,1,2
902,14,8,2018,2,80,1,1
902,14,8,2019,4,100,1,2
902,14,8,2019,3,100,1,2
902,14,8,2019,2,100,1,2
902,14,8,2018,1,80,1,1
902,14,8,2018,1,80,1,1
902,14,8,2019,4,100,1,2
902,14,8,2019,4,100,1,2
902,14,8,2016,1,40,1,0
903,12,8,2015,1,20,1,0
903,12,8,2016,2,40,1,0
903,12,8,2017,2,60,1,0
10,8,7,2016,2,40,1,0
10,10,7,2019,4,100,1,2
10,8,7,2016,2,40,1,0
10,8,7,2016,1,40,1,0
10,8,7,2016,2,40,1,0
10,10,7,2019,4,100,1,2
10,8,7,2019,4,100,1,2
10,8,7,2016,1,40,1,0
10,8,7,2015,1,20,1,0
10,8,7,2019,4,100,1,2
10,8,7,2014,3,0,1,0
10,8,7,2017,2,60,1,0
10,8,7,2017,3,60,1,0
10,8,7,2017,1,60,1,0
10,8,7,2017,3,60,1,0
10,10,7,2018,3,80,1,1
10,8,7,2015,1,20,1,0
10,8,7,2016,3,40,1,0
10,8,7,2017,2,60,1,0
10,8,7,2016,1,40,1,0
10,8,7,2016,2,40,1,0
10,8,7,2019,4,100,1,2
10,8,7,2019,4,100,1,2
10,8,7,2016,3,40,1,0
10,8,7,2019,4,100,1,2
10,8,7,2019,4,100,1,2
11,15,9,2016,1,80,1,1
11,15,9,2016,2,80,1,1
11,15,9,2017,4,87,1,2
11,15,9,2017,4,87,1,2
11,15,9,2017,4,87,1,2
11,15,9,2016,2,80,1,1
11,15,9,2016,1,80,1,1
11,15,9,2016,3,80,1,1
11,15,9,2016,3,80,1,1
11,15,9,2014,1,67,1,1
11,15,9,2017,2,87,1,2
11,15,9,2014,1,0,1,0
11,15,9,2016,2,40,1,0
11,15,6,2019,4,100,1,2
11,15,6,2016,1,40,1,0
11,15,6,2016,2,40,1,0
11,15,9,2014,1,67,1,1
11,15,9,2016,3,80,1,1
11,15,9,2017,3,87,1,2
11,15,9,2017,4,87,1,2
11,15,9,2017,3,87,1,2
11,15,6,2017,2,60,1,0
11,15,6,2016,1,40,1,0
11,15,6,2019,4,100,1,2
11,15,6,2019,4,100,1,2
11,15,6,2016,1,40,1,0
11,15,6,2016,2,80,1,1
11,15,9,2016,3,80,1,1
11,15,9,2016,2,80,1,1
11,15,9,2016,1,80,1,1
11,15,9,2016,2,80,1,1
11,15,9,2016,2,80,1,1
11,15,9,2016,2,80,1,1
12,16,9,2016,2,70,1,1
13,17,10,2018,4,90,1,2
13,17,10,2018,4,90,1,2
13,17,10,2016,2,70,1,1
13,17,10,2016,2,70,1,1
13,17,10,2016,1,70,1,1
13,17,10,2018,4,90,1,2
13,17,10,2016,3,70,1,1
13,17,10,2018,2,90,1,2
13,17,10,2018,1,90,1,2
13,17,10,2016,3,70,1,1
13,17,10,2016,2,70,1,1
13,17,10,2018,3,90,1,2
14,18,8,2016,4,100,1,2
14,18,8,2016,4,100,1,2
14,18,8,2016,4,100,1,2
14,18,8,2016,4,100,1,2
14,18,8,2016,4,100,1,2
14,18,8,2012,3,80,1,2
14,18,8,2016,2,100,1,2
14,18,8,2016,1,100,1,2
14,18,8,2012,1,80,1,2
14,18,8,2016,2,100,1,2
14,18,8,2016,3,100,1,2
14,18,8,2014,2,90,1,2
14,18,8,2016,3,100,1,2
14,18,8,2015,2,95,1,2
14,18,8,2016,4,100,1,2
14,18,8,2011,2,75,1,1
14,18,8,2016,3,100,1,2
14,18,8,2016,3,100,1,2
14,18,8,2016,2,100,1,2
14,18,8,2013,3,85,1,2
14,18,8,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
15,19,5,2016,4,100,1,2
