Jenis_Alat,MEREK,BUATAN,TAHUN_PEMBUATAN,KATEGORI_KERUSAKAN,KONDISI ,Sertifikasi ,Keterangan
1,1,1,2,3,53,1,0
1,2,1,6,4,80,1,2
1,2,1,6,2,80,1,1
1,1,1,7,4,87,1,2
1,1,1,7,4,87,1,2
1,1,1,7,2,87,1,2
1,1,1,9,1,100,0,2
1,2,1,6,2,80,1,1
1,2,1,6,1,80,1,1
1,2,1,1,3,47,1,0
1,1,1,9,1,100,0,1
2,3,2,6,2,80,1,2
3,1,3,7,2,60,1,1
4,4,4,5,2,73,1,1
4,4,4,7,4,87,1,2
4,4,4,3,1,60,1,2
4,4,4,2,3,53,1,1
4,4,4,6,4,80,1,2
4,4,4,5,2,73,1,1
4,5,5,2,3,0,1,0
4,5,5,2,3,0,1,0
4,6,6,2,3,0,1,0
4,6,6,2,3,0,1,1
4,6,6,2,3,0,1,0
4,6,6,2,3,0,1,0
4,4,4,6,3,40,1,2
4,4,4,6,3,40,1,1
4,4,4,6,3,40,1,1
4,4,4,6,3,40,1,1
4,4,4,6,3,40,1,0
4,4,4,6,3,40,1,1
4,4,4,6,3,40,1,2
4,4,4,6,3,40,1,1
4,4,4,6,3,40,1,2
4,4,4,6,3,40,1,1
4,4,4,6,3,40,1,1
4,4,4,6,3,40,1,1
6,7,5,6,4,80,1,0
6,7,5,6,4,80,1,2
7,8,7,6,3,40,1,2
7,8,7,6,3,40,1,1
7,8,7,6,3,40,1,0
7,9,7,6,3,40,1,1
7,9,7,6,3,40,1,2
7,9,7,6,3,40,1,2
7,8,7,6,3,40,1,0
7,8,7,6,3,40,1,2
7,9,7,6,3,40,1,1
7,9,7,6,3,40,1,1
7,8,7,5,3,20,1,1
7,10,7,6,3,40,1,2
7,9,7,6,3,40,1,1
7,8,7,6,3,40,1,2
7,8,7,6,3,40,1,0
7,10,7,7,2,60,1,2
7,10,7,7,3,60,1,2
7,8,7,6,3,40,1,1
7,8,7,6,3,40,1,0
7,8,7,6,3,40,1,2
7,8,7,6,3,40,1,2
7,8,7,9,4,100,1,0
7,8,7,7,2,60,1,2
7,8,7,6,3,40,1,2
7,10,7,7,2,60,1,1
7,10,7,7,2,60,1,0
7,10,7,7,2,60,1,2
7,9,7,6,3,40,1,2
7,10,7,7,1,60,1,2
7,9,7,6,3,40,1,2
7,10,7,7,2,60,1,2
7,10,7,8,1,80,1,2
7,9,7,6,1,40,1,1
8,11,5,6,4,80,1,2
8,11,5,6,4,80,1,2
8,11,5,7,4,87,1,1
8,11,8,10,4,100,1,2
8,10,5,6,1,40,1,0
9,12,9,6,3,40,1,0
9,12,9,6,2,40,1,0
9,12,9,6,1,40,1,0
9,12,9,6,3,40,1,1
9,12,9,6,2,40,1,2
9,12,9,6,1,40,1,0
9,12,9,6,1,40,1,0
9,12,9,6,1,40,1,1
9,12,9,6,1,40,1,2
9,12,9,6,1,40,1,2
9,12,9,6,2,40,1,2
9,12,9,6,3,40,1,2
9,12,9,6,4,40,1,1
9,12,9,6,3,40,1,2
9,12,9,6,2,40,1,2
9,12,9,6,1,40,1,2
9,12,9,6,1,40,1,0
9,12,9,8,4,80,1,2
9,12,9,9,4,100,1,0
9,12,9,6,2,40,1,2
9,12,9,6,1,40,1,0
9,12,9,6,3,40,1,0
9,12,9,6,2,40,1,2
9,12,9,5,1,20,1,2
9,12,9,6,3,40,1,2
9,12,9,6,2,40,1,2
9,12,9,9,4,100,1,2
9,12,9,6,3,40,1,2
9,12,9,6,2,40,1,2
9,12,9,6,2,40,1,2
9,12,9,6,1,40,1,2
9,12,9,6,3,40,1,1
