JML,NAMA_PERALATAN,Jenis_Alat,MEREK,TIPE,BUATAN,TAHUN_PEMBUATAN,KATEGORI_KERUSAKAN,KONDISI ,Sertifikasi ,Keterangan
1,X-Ray Cabin,X-Ray,Rapiscan,620XR,Malaysia,2012,3,53,1,Rusak
2,X-Ray Bagasi Line 1,X-Ray,Smith,HS 100100T-2is,Malaysia,2016,4,80,1,Normal
3,X-Ray Bagasi Line 2,X-Ray,Smith,HS 100100T-2is,Malaysia,2016,2,80,1,Perbaikan
4,X-Ray Cabin Line 1,X-Ray,Rapiscan,620DV,Malaysia,2017,4,87,1,Normal
5,X-Ray Cabin Line 2,X-Ray,Rapiscan,620DV,Malaysia,2017,4,87,1,Normal
6,X-Ray Cabin Line 3,X-Ray,Rapiscan,620DV,Malaysia,2017,2,87,1,Normal
7,X-Ray Bagasi Line 1,X-Ray,Rapiscan,628DV,Malaysia,2019,1,100,2,Normal
8,X-Ray Bagasi Line 2,X-Ray,Smith,HS 100100T-2is,Malaysia,2016,2,80,1,Perbaikan
9,X-Ray Cabin Line 1,X-Ray,Smith,HI Scan 6040-2is,Malaysia,2016,1,80,1,Perbaikan
10,X-Ray Cabin Line 2,X-Ray,Smith,HI Scan 6040-2is,Malaysia,2011,3,47,1,Rusak
11,X-Ray Cabin,X-Ray,Rapiscan,620DV,Malaysia,2019,1,100,2,Perbaikan
1,Body Scanner,Body Scanner,L3,PV-2 PROVISION.2.E.U,Amerika,2016,2,80,1,Normal
1,Explosive Detector,Explosive Detector,,SABRE 5000,EROPA,2017,2,60,1,Perbaikan
1,WTMD Line 1,WTMD ,CEIA,Hi-Pe,Italy,2015,2,73,1,Perbaikan
2,WTMD Line 2,WTMD ,CEIA,Hi-Pe,Italy,2017,4,87,1,Normal
3,WTMD Line 3,WTMD ,CEIA,Hi-Pe,Italy,2013,1,60,1,Normal
4,WTMD Line 1,WTMD ,CEIA,Hi-Pe,Italy,2012,3,53,1,Rusak
5,WTMD Karyawan Internasional,WTMD ,CEIA,Hi-Pe,Italy,2016,4,80,1,Normal
6,WTMD Karyawan Domestik,WTMD ,CEIA,Hi-Pe,Italy,2015,2,73,1,Perbaikan
1,HHMD 001,HHMD ,Garret,1165180,USA,2012,3,0,1,Rusak
2,HHMD 002,HHMD ,Garret,1165170,USA,2012,3,0,1,Rusak
3,HHMD 003,HHMD ,Krisbow,,Indonesia,2012,3,0,1,Rusak
4,HHMD 004,HHMD ,Krisbow,,Indonesia,2012,3,0,1,Perbaikan
5,HHMD 005,HHMD ,Krisbow,,Indonesia,2012,3,0,1,Rusak
6,HHMD 006,HHMD ,Krisbow,,Indonesia,2012,3,0,1,Rusak
7,HHMD 007,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Normal
8,HHMD 008,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
9,HHMD 009,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
10,HHMD 010,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
11,HHMD 011,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Rusak
12,HHMD 012,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
13,HHMD 013,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Normal
14,HHMD 014,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
15,HHMD 015,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Normal
16,HHMD 016,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
17,HHMD 017,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
18,HHMD 018,HHMD ,CEIA,PD140E,Italy,2016,3,40,1,Perbaikan
1,PABX,PABX,Siemens,Hizcome 100E,,1999,3,0,1,Rusak
1,FIDS SERVER01,FIDS SERVER,Dell,,USA,2016,4,80,1,Rusak
2,FIDS SERVER02,FIDS SERVER,Dell,,USA,2016,4,80,1,Normal
1,FIDS 001,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Normal
2,FIDS 002,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Perbaikan
3,FIDS 003,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Rusak
4,FIDS 004,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Perbaikan
5,FIDS 005,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Normal
6,FIDS 006,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Normal
7,FIDS 007,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Rusak
8,FIDS 008,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Normal
9,FIDS 009,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Rusak
10,FIDS 010,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Rusak
11,FIDS 011,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2015,3,20,1,Rusak
12,FIDS 012,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Normal
13,FIDS 013,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Perbaikan
14,FIDS 014,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Normal
15,FIDS 015,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Rusak
16,FIDS 016,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2017,2,60,1,Normal
17,FIDS 017,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2017,3,60,1,Normal
18,FIDS 018,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Perbaikan
19,FIDS 019,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Rusak
