NAMA_PERALATAN,MEREK,BUATAN,KATEGORI,TAHUN_BUATAN,KONDISI,SERTIFIKASI,KETERANGAN
X-Ray ,Rapiscan,Malaysia,3,2012,53,2,Rusak
X-Ray ,Smith,Malaysia,2,2018,93,2,Normal
X-Ray ,Smith,Malaysia,2,2015,73,2,Perbaikan
X-Ray ,Rapiscan,Malaysia,4,2017,87,2,Normal
X-Ray ,Rapiscan,Malaysia,4,2018,93,2,Normal
X-Ray ,Rapiscan,Malaysia,2,2017,87,2,Normal
X-Ray ,Rapiscan,Malaysia,1,2019,100,1,Normal
X-Ray ,Smith,Malaysia,2,2016,80,2,Perbaikan
X-Ray ,Smith,Malaysia,1,2016,80,2,Perbaikan
X-Ray ,Smith,Malaysia,3,2011,47,2,Rusak
X-Ray ,Rapiscan,Malaysia,1,2019,100,1,Normal
Body Scanner,L3,Amerika,2,2016,80,2,Perbaikan
Explosive Detector,,EROPA,2,2014,67,2,Perbaikan
WTMD ,CEIA,Italy,2,2015,73,2,Perbaikan
WTMD ,CEIA,Italy,4,2017,87,2,Normal
WTMD ,CEIA,Italy,1,2013,60,2,Rusak
WTMD ,CEIA,Italy,3,2012,53,2,Rusak
WTMD ,CEIA,Italy,2,2016,80,2,Perbaikan
WTMD ,CEIA,Italy,2,2015,73,2,Perbaikan
HHMD ,Garret,USA,3,2012,0,2,Rusak
HHMD ,Garret,USA,3,2012,0,2,Rusak
HHMD ,Krisbow,Indonesia,3,2012,0,2,Rusak
HHMD ,Krisbow,Indonesia,3,2018,80,2,Perbaikan
HHMD ,Krisbow,Indonesia,3,2012,0,2,Rusak
HHMD ,Krisbow,Indonesia,3,2012,0,2,Rusak
HHMD ,CEIA,Italy,3,2016,40,2,Rusak
HHMD ,CEIA,Italy,3,2018,80,2,Perbaikan
HHMD ,CEIA,Italy,3,2016,40,2,Rusak
HHMD ,CEIA,Italy,3,2016,40,2,Rusak
HHMD ,CEIA,Italy,3,2016,40,2,Rusak
HHMD ,CEIA,Italy,3,2018,80,2,Perbaikan
HHMD ,CEIA,Italy,3,2018,80,2,Normal
HHMD ,CEIA,Italy,3,2016,40,2,Rusak
HHMD ,CEIA,Italy,3,2018,80,2,Perbaikan
HHMD ,CEIA,Italy,3,2016,40,2,Rusak
HHMD ,CEIA,Italy,2,2019,100,2,Normal
HHMD ,CEIA,Italy,2,2019,100,2,Normal
PABX,PABX,Siemens,3,1999,0,2,Rusak
FIDS ,Dell,USA,4,2017,87,2,Normal
FIDS ,Dell,USA,4,2017,87,2,Normal
FIDS ,Raspberry/LG,UK/Korsel,3,2018,80,2,Normal
FIDS ,Raspberry/LG,UK/Korsel,1,2019,100,2,Normal
FIDS ,Raspberry/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Alaska F1/LG,UK/Korsel,3,2018,80,2,Perbaikan
FIDS ,Alaska F1/LG,UK/Korsel,3,2018,80,2,Perbaikan
FIDS ,Alaska F1/LG,UK/Korsel,1,2019,100,2,Normal
FIDS ,Raspberry/LG,UK/Korsel,1,2016,40,2,Rusak
FIDS ,Raspberry/LG,UK/Korsel,1,2019,100,2,Normal
FIDS ,Alaska F1/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Alaska F1/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Intel NUC/LG,UK/Korsel,3,2015,20,2,Rusak
FIDS ,Alaska F1/LG,UK/Korsel,3,2018,80,2,Perbaikan
FIDS ,Alaska F1/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Raspberry/LG,UK/Korsel,2,2018,80,2,Perbaikan
FIDS ,Raspberry/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Intel NUC/LG,UK/Korsel,2,2017,60,2,Rusak
FIDS ,Intel NUC/LG,UK/Korsel,1,2019,100,2,Normal
FIDS ,Raspberry/LG,UK/Korsel,3,2018,80,2,Perbaikan
FIDS ,Raspberry/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Raspberry/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Raspberry/LG,UK/Korsel,4,2019,100,2,Normal
FIDS ,Raspberry/LG,UK/Korsel,3,2016,40,2,Rusak
FIDS ,Raspberry/LG,UK/Korsel,2,2017,60,2,Rusak
FIDS ,Raspberry/LG,UK/Korsel,1,2019,100,2,Normal
FIDS ,Intel NUC/LG,UK/Korsel,2,2017,60,2,Rusak
FIDS ,Intel NUC/LG,UK/Korsel,2,2017,60,2,Rusak
FIDS ,Intel NUC/LG,UK/Korsel,2,2019,100,2,Normal
FIDS ,Alaska F1/LG,UK/Korsel,3,2016,40,2,Rusak
